tractFIPS_left,SUM of Qty,tree planting sentence,many tree %ile,few tree %ile,priority category,pcanopy,canopy sentence,high canopy %ile,low canopy %ile,requests,requests sentence,high req %ile,low req %ile,prio_rank
17031061100,11,less than 93.7965260545906% of other census tracts,6.203473945,93.79652605,low                                                                             ,14.28395892,less than 82.7114427860697% of other census tracts,17.28855721,82.71144279,12,less than 91.2935323383085% of other census tracts,8.706467662,91.29353234,109
17031061200,29,less than 79.0322580645161% of other census tracts,20.96774194,79.03225806,low                                                                             ,23.48296987,more than 67.1641791044776% of other census tracts,67.1641791,32.8358209,43,less than 65.2985074626866% of other census tracts,34.70149254,65.29850746,53
17031061500,15,less than 90.6947890818859% of other census tracts,9.305210918,90.69478908,low                                                                             ,27.55018249,more than 86.0696517412935% of other census tracts,86.06965174,13.93034826,34,less than 72.2636815920398% of other census tracts,27.73631841,72.26368159,20
17031061800,8,less than 96.5260545905707% of other census tracts,3.473945409,96.52605459,medium                                                                          ,20.61010473,more than 52.7363184079602% of other census tracts,52.73631841,47.26368159,25,less than 79.4776119402985% of other census tracts,20.52238806,79.47761194,124
17031061901,28,less than 79.6526054590571% of other census tracts,20.34739454,79.65260546,low                                                                             ,22.15214014,more than 60.4477611940299% of other census tracts,60.44776119,39.55223881,53,less than 57.8358208955224% of other census tracts,42.1641791,57.8358209,70
17031061902,13,less than 92.4317617866005% of other census tracts,7.568238213,92.43176179,low                                                                             ,14.14298817,less than 83.7064676616916% of other census tracts,16.29353234,83.70646766,18,less than 85.8208955223881% of other census tracts,14.17910448,85.82089552,14
17031062000,31,less than 76.6749379652605% of other census tracts,23.32506203,76.67493797,low                                                                             ,22.53398042,more than 62.6865671641791% of other census tracts,62.68656716,37.31343284,50,less than 59.9502487562189% of other census tracts,40.04975124,59.95024876,23
17031062100,42,less than 66.5012406947891% of other census tracts,33.49875931,66.50124069,low                                                                             ,19.04224879,less than 55.7213930348259% of other census tracts,44.27860697,55.72139303,59,less than 54.6019900497512% of other census tracts,45.39800995,54.60199005,86
17031062200,46,less than 64.0198511166253% of other census tracts,35.98014888,64.01985112,low                                                                             ,24.18550982,more than 71.0199004975124% of other census tracts,71.0199005,28.9800995,70,more than 52.8606965174129% of other census tracts,52.86069652,47.13930348,95
17031062300,23,less than 84.3672456575682% of other census tracts,15.63275434,84.36724566,low                                                                             ,26.65458445,more than 82.4626865671642% of other census tracts,82.46268657,17.53731343,27,less than 77.4875621890547% of other census tracts,22.51243781,77.48756219,59
17031062400,26,less than 81.7617866004963% of other census tracts,18.2382134,81.7617866,low                                                                             ,25.74897562,more than 77.8606965174129% of other census tracts,77.86069652,22.13930348,54,less than 56.9651741293532% of other census tracts,43.03482587,56.96517413,113
17031062500,27,less than 80.6451612903226% of other census tracts,19.35483871,80.64516129,low                                                                             ,22.51611697,more than 62.5621890547264% of other census tracts,62.56218905,37.43781095,66,more than 50.3731343283582% of other census tracts,50.37313433,49.62686567,112
17031062600,74,more than 57.1960297766749% of other census tracts,57.19602978,42.80397022,medium                                                                          ,20.24596457,more than 50.6218905472637% of other census tracts,50.62189055,49.37810945,83,more than 58.3333333333333% of other census tracts,58.33333333,41.66666667,136
17031062700,55,less than 56.575682382134% of other census tracts,43.42431762,56.57568238,medium                                                                          ,22.27715456,more than 61.5671641791045% of other census tracts,61.56716418,38.43283582,123,more than 74.1293532338308% of other census tracts,74.12935323,25.87064677,147
17031062800,46,less than 64.0198511166253% of other census tracts,35.98014888,64.01985112,low                                                                             ,26.42787974,more than 81.7164179104478% of other census tracts,81.71641791,18.28358209,94,more than 65.7960199004975% of other census tracts,65.7960199,34.2039801,74
17031062900,62,less than 51.4888337468983% of other census tracts,48.51116625,51.48883375,low                                                                             ,30.80304988,more than 92.5373134328358% of other census tracts,92.53731343,7.462686567,86,more than 60.4477611940299% of other census tracts,60.44776119,39.55223881,68
17031063000,51,less than 59.8014888337469% of other census tracts,40.19851117,59.80148883,medium                                                                          ,17.19533377,less than 68.2835820895522% of other census tracts,31.71641791,68.28358209,60,less than 53.7313432835821% of other census tracts,46.26865672,53.73134328,121
17031063100,20,less than 87.3449131513648% of other census tracts,12.65508685,87.34491315,low                                                                             ,18.32984901,less than 60.6965174129353% of other census tracts,39.30348259,60.69651741,63,less than 51.3681592039801% of other census tracts,48.6318408,51.3681592,44
17031063200,29,less than 79.0322580645161% of other census tracts,20.96774194,79.03225806,low                                                                             ,20.77558894,more than 53.7313432835821% of other census tracts,53.73134328,46.26865672,44,less than 64.5522388059702% of other census tracts,35.44776119,64.55223881,21
17031063301,14,less than 91.5632754342432% of other census tracts,8.436724566,91.56327543,low                                                                             ,19.2142196,less than 54.6019900497512% of other census tracts,45.39800995,54.60199005,37,less than 69.1542288557214% of other census tracts,30.84577114,69.15422886,72
17031063302,19,less than 87.9652605459057% of other census tracts,12.03473945,87.96526055,low                                                                             ,18.82434002,less than 57.5870646766169% of other census tracts,42.41293532,57.58706468,20,less than 83.955223880597% of other census tracts,16.04477612,83.95522388,27
17031063303,8,less than 96.5260545905707% of other census tracts,3.473945409,96.52605459,low                                                                             ,26.77552388,more than 83.4577114427861% of other census tracts,83.45771144,16.54228856,3,less than 97.636815920398% of other census tracts,2.36318408,97.63681592,13
17031063400,15,less than 90.6947890818859% of other census tracts,9.305210918,90.69478908,low                                                                             ,15.13025281,less than 78.8557213930348% of other census tracts,21.14427861,78.85572139,49,less than 60.5721393034826% of other census tracts,39.4278607,60.5721393,85
17031070101,44,less than 65.2605459057072% of other census tracts,34.73945409,65.26054591,low                                                                             ,24.9044074,more than 74.6268656716418% of other census tracts,74.62686567,25.37313433,24,less than 80.8457711442786% of other census tracts,19.15422886,80.84577114,24
17031070102,6,less than 97.5186104218362% of other census tracts,2.481389578,97.51861042,low                                                                             ,15.45418293,less than 77.363184079602% of other census tracts,22.63681592,77.36318408,17,less than 87.0646766169154% of other census tracts,12.93532338,87.06467662,67
17031070103,2,less than 99.0074441687345% of other census tracts,0.9925558313,99.00744417,low                                                                             ,25.8423109,more than 78.8557213930348% of other census tracts,78.85572139,21.14427861,6,less than 96.1442786069652% of other census tracts,3.855721393,96.14427861,60
17031070200,65,more than 50.9925558312655% of other census tracts,50.99255583,49.00744417,low                                                                             ,25.04202095,more than 75.2487562189055% of other census tracts,75.24875622,24.75124378,209,more than 87.5621890547264% of other census tracts,87.56218905,12.43781095,97
17031070300,41,less than 67.4937965260546% of other census tracts,32.50620347,67.49379653,low                                                                             ,27.00320969,more than 84.0796019900498% of other census tracts,84.07960199,15.92039801,108,more than 70.1492537313433% of other census tracts,70.14925373,29.85074627,42
17031070400,37,less than 71.712158808933% of other census tracts,28.28784119,71.71215881,low                                                                             ,28.75764674,more than 89.1791044776119% of other census tracts,89.17910448,10.82089552,62,less than 51.865671641791% of other census tracts,48.13432836,51.86567164,88
